title,neighborhood,price,url,description
"Piso  en  Carrer d'ignasi iglesias 142. Exterior , molt lluminós",Barcelona - Sant Andreu,420.000 €,https://www.habitaclia.com/comprar-piso-exterior_molt_lluminos_calle_d_ignasi_iglesias_142_sant_andreu-barcelona-i10024004256930.htm?pag=1&f=&from=list&lo=55,"Pis de 91m2, en molt bon estat, finca de l'any 2007. Exterior tant a pati d'illa com a carrer. Situat en un carrer mol..."
Piso  Carrer de rubén darío. Piso con 4 habitaciones con ascensor y aire acondicionado,Barcelona - Sant Andreu,289.000 €,https://www.habitaclia.com/comprar-piso-con_4_habitaciones_con_ascensor_y_aire_acondicionado_sant_andreu-barcelona-i4553004323341.htm?pag=1&f=&from=list&lo=55,Piso en venta tocando el mercat de Sant Andreu. El inmueble es un entresuelo exterior de 80 M² distribuidos en amplio r...
Piso  Avinguda meridiana. Piso con 3 habitaciones con ascensor y aire acondicionado,Barcelona - Sant Andreu,210.000 €,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_y_aire_acondicionado_sant_andreu-barcelona-i4553004323351.htm?pag=1&f=&from=list&lo=55,"Espectacular piso en venta para entrar a vivir.  Piso exterior de 64 M² en el barrio de Sant Andreu, tercera planta re..."
Piso  Passeig de santa coloma,Barcelona - Sant Andreu,295.000 €,https://www.habitaclia.com/comprar-piso-sant_andreu-barcelona-i4027004298169.htm?pag=1&f=&from=list&lo=55,"Dolça Llar presenta excelente obra semi-nueva del año 2008 en Sant Andreu ,  Encontraremos amplio salón comedor todo ex..."
Chalet  en  Sant Andreu. Villa de 5 dormitorios con jardín y piscina en venta en mas mest,Barcelona - Sant Andreu,430.000 €,https://www.habitaclia.com/comprar-chalet-villa_de_5_dormitorios_con_jardin_y_piscina_en_venta_en_mas_mest_sant_andreu-barcelona-i4975004329339.htm?pag=1&f=&from=list&lo=55,"Acogedora casa mediterránea de una planta en una gran parcela con piscina privada en la urbanización Mas Mestre, en Oliv..."
"Piso  Liuva. Piso de 2 dormitorios, con balcón y ascensor",Barcelona - Sant Andreu,189.000 €,https://www.habitaclia.com/comprar-piso-de_2_dormitorios_con_balcon_y_ascensor_sant_andreu-barcelona-i8219002911559.htm?pag=1&f=&from=list&lo=55,"Coqueto piso de 2 dormitorios distribuidos de la siguiente manera
 
 Recibidor de bienvenida 
 
 Cocina Independiente´..."
Piso  en  Sant Andreu. Hermoso piso reformado en sant andreu!,Barcelona - Sant Andreu,365.000 €,https://www.habitaclia.com/comprar-piso-hermoso_reformado_en_sant_andreu_sant_andreu-barcelona-i14302000000013.htm?pag=1&f=&from=list&lo=55,"Hermoso piso Reformado en Sant Andreu! Para entrar a vivir, amueblado y con cocina equipada, con amplio balcón, salón co..."
Piso  Carrer gran de sant andreu. En la calle gran de sant andreu,Barcelona - Sant Andreu,240.000 €,https://www.habitaclia.com/comprar-piso-en_la_calle_gran_de_sant_andreu_sant_andreu-barcelona-i3118004332711.htm?pag=1&f=&from=list&lo=55,"724,91€* Cuota mensual hipoteca fija. Vivienda en muy buen estado general, 74 m2., distribuidos en: amplio salón comedo..."
Ático  Carrer de la residència. Ático con balcón totalmente reformado.,Barcelona - Sant Andreu,249.000 €,https://www.habitaclia.com/comprar-atico-con_balcon_totalmente_reformado_sant_andreu-barcelona-i3118004332692.htm?pag=1&f=&from=list&lo=55,"*752,09€ cuota mensual hipoteca fija. Ático con balcón totalmente reformado, 7ª planta real de altura. 65m2. distribuid..."
Piso  Carrer parellada. Piso con 2 habitaciones con aire acondicionado,Barcelona - Sant Andreu,199.000 €,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_aire_acondicionado_sant_andreu-barcelona-i4389004335645.htm?pag=1&f=&from=list&lo=55,Baix amb pati privat al  cor de Sant Andreu.  Planta baixa de 55m2 més un pati de 25m2 que incorpora una petita constr...
Piso  Carrer de malats. Piso con 2 habitaciones con ascensor,Barcelona - Sant Andreu,189.000 €,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_sant_andreu-barcelona-i5935004333551.htm?pag=1&f=&from=list&lo=55,"´OPORTUNIDAD! Increíble piso reformado íntegramente en el bonito barrio de Sant Andreu.  Este encantador inmueble, est..."
"Dúplex  Carrer de l'abat odó. Dúplex con 4 habitaciones con piscina, calefacción y aire acondi",Barcelona - Sant Andreu,660.000 €,https://www.habitaclia.com/comprar-duplex-con_4_habitaciones_con_piscina_calefaccion_y_aire_acondi_sant_andreu-barcelona-i3369004323680.htm?pag=1&f=&from=list&lo=55,Espectacular DUPLEX tipo casa en Sant Andreu. ÚNICO EN LA ZONA. Finca del m2 útiles de vivienda + 93m2 de terr...
"Piso  Carrer de mossèn quintí mallofré. Ascensor, balcon, exterior",Barcelona - Sant Andreu,320.000 €,https://www.habitaclia.com/comprar-piso-ascensor_balcon_exterior_sant_andreu-barcelona-i12636002516032.htm?pag=1&f=&from=list&lo=55,"Grandioso piso con opción a parking situado en Barcelona - Sant Andreu, Consta de 99,16m2 construidos y muy bien distrib..."
